,team,wins,goles_casa,goles_visita,total_pass,corner_taken,touches,season
0,Arsenal,19,43.0,20.0,18458,278,25592,2006-2007
1,Aston Villa,11,20.0,23.0,13254,213,20002,2006-2007
2,Blackburn Rovers,15,31.0,21.0,14033,205,20812,2006-2007
3,Bolton Wanderers,16,26.0,21.0,12400,217,18932,2006-2007
4,Charlton Athletic,8,19.0,15.0,12722,178,19497,2006-2007
5,Chelsea,24,37.0,27.0,16759,231,24010,2006-2007
6,Everton,15,33.0,19.0,12274,208,19250,2006-2007
7,Fulham,8,18.0,20.0,11820,173,18720,2006-2007
8,Liverpool,20,39.0,18.0,17154,282,24150,2006-2007
9,Manchester City,11,10.0,19.0,12765,198,19378,2006-2007
10,Manchester United,28,46.0,37.0,18723,258,25686,2006-2007
11,Middlesbrough,12,31.0,13.0,12779,187,19199,2006-2007
12,Newcastle United,11,23.0,15.0,14628,195,21213,2006-2007
13,Portsmouth,14,28.0,17.0,12616,247,19377,2006-2007
14,Reading,16,29.0,23.0,11232,280,18017,2006-2007
15,Sheffield United,10,24.0,8.0,11123,178,17713,2006-2007
16,Tottenham Hotspur,17,34.0,23.0,14914,181,22200,2006-2007
17,Watford,5,19.0,10.0,10175,212,16772,2006-2007
18,West Ham United,12,24.0,11.0,13178,196,20040,2006-2007
19,Wigan Athletic,10,18.0,19.0,11353,177,17564,2006-2007
20,Arsenal,24,37.0,37.0,18831,234,28156,2007-2008
21,Aston Villa,16,34.0,37.0,11438,229,20734,2007-2008
22,Birmingham City,8,30.0,16.0,10630,193,19541,2007-2008
23,Blackburn Rovers,15,26.0,24.0,13650,196,22599,2007-2008
24,Bolton Wanderers,9,23.0,13.0,11854,208,20846,2007-2008
25,Chelsea,25,36.0,29.0,17252,253,26290,2007-2008
26,Derby County,1,12.0,8.0,11739,158,20140,2007-2008
27,Everton,19,34.0,21.0,12397,198,21360,2007-2008
28,Fulham,8,22.0,16.0,12576,183,21259,2007-2008
29,Liverpool,21,43.0,24.0,16360,237,25857,2007-2008
30,Manchester City,15,28.0,17.0,15149,156,23416,2007-2008
31,Manchester United,27,47.0,33.0,17422,261,26620,2007-2008
32,Middlesbrough,10,27.0,16.0,12200,219,21064,2007-2008
33,Newcastle United,11,25.0,20.0,13947,209,22761,2007-2008
34,Portsmouth,16,24.0,24.0,12794,184,21907,2007-2008
35,Reading,10,19.0,22.0,10431,238,19140,2007-2008
36,Sunderland,11,23.0,13.0,12727,183,21415,2007-2008
37,Tottenham Hotspur,11,46.0,20.0,15466,238,24679,2007-2008
38,West Ham United,13,24.0,18.0,13773,207,22347,2007-2008
39,Wigan Athletic,10,21.0,13.0,11684,186,19855,2007-2008
40,Arsenal,20,31.0,37.0,18991,267,29877,2008-2009
41,Aston Villa,17,27.0,27.0,12419,257,23020,2008-2009
42,Blackburn Rovers,10,22.0,18.0,13436,199,23450,2008-2009
43,Bolton Wanderers,11,21.0,20.0,10649,201,20876,2008-2009
44,Chelsea,25,33.0,35.0,19923,237,29962,2008-2009
45,Everton,17,31.0,24.0,15024,191,25205,2008-2009
46,Fulham,14,28.0,11.0,16100,188,26306,2008-2009
47,Hull City,8,18.0,21.0,11809,186,21712,2008-2009
48,Liverpool,25,41.0,36.0,19505,269,29875,2008-2009
49,Manchester City,15,40.0,18.0,15971,210,26120,2008-2009
50,Manchester United,28,43.0,25.0,19416,257,30077,2008-2009
51,Middlesbrough,7,17.0,11.0,13124,172,23322,2008-2009
52,Newcastle United,7,24.0,16.0,14172,165,24327,2008-2009
53,Portsmouth,10,26.0,12.0,14497,194,25414,2008-2009
54,Stoke City,12,22.0,16.0,9478,174,18693,2008-2009
55,Sunderland,9,21.0,13.0,14144,172,24442,2008-2009
56,Tottenham Hotspur,14,21.0,24.0,15723,221,26576,2008-2009
57,West Bromwich Albion,8,26.0,10.0,14518,226,24904,2008-2009
58,West Ham United,14,23.0,19.0,15316,189,25662,2008-2009
59,Wigan Athletic,12,17.0,17.0,12319,210,23071,2008-2009
60,Arsenal,23,48.0,35.0,19291,257,29807,2009-2010
61,Aston Villa,17,29.0,23.0,13127,236,23210,2009-2010
62,Birmingham City,13,19.0,19.0,13540,186,23678,2009-2010
63,Blackburn Rovers,13,28.0,13.0,11792,181,21245,2009-2010
64,Bolton Wanderers,10,26.0,16.0,11404,183,21587,2009-2010
65,Burnley,8,25.0,17.0,13591,174,23571,2009-2010
66,Chelsea,27,68.0,35.0,18852,286,28914,2009-2010
67,Everton,16,35.0,25.0,14832,230,24914,2009-2010
68,Fulham,12,27.0,12.0,16505,177,26134,2009-2010
69,Hull City,6,22.0,12.0,11731,150,21522,2009-2010
70,Liverpool,18,43.0,18.0,18575,268,28704,2009-2010
71,Manchester City,18,41.0,32.0,16323,237,26446,2009-2010
72,Manchester United,27,52.0,34.0,19318,297,28968,2009-2010
73,Portsmouth,7,24.0,10.0,13509,189,23416,2009-2010
74,Stoke City,11,24.0,10.0,10307,181,19825,2009-2010
75,Sunderland,11,32.0,16.0,12489,180,22903,2009-2010
76,Tottenham Hotspur,21,40.0,27.0,15474,241,25855,2009-2010
77,West Ham United,8,30.0,17.0,14616,180,24973,2009-2010
78,Wigan Athletic,9,19.0,18.0,14753,181,25000,2009-2010
79,Wolverhampton Wanderers,9,13.0,19.0,13020,204,22641,2009-2010
80,Arsenal,19,33.0,39.0,20150,252,28629,2010-2011
81,Aston Villa,12,26.0,22.0,14611,230,22681,2010-2011
82,Birmingham City,8,19.0,18.0,14036,150,21652,2010-2011
83,Blackburn Rovers,11,22.0,24.0,11178,173,19421,2010-2011
84,Blackpool,10,30.0,25.0,15113,183,23616,2010-2011
85,Bolton Wanderers,12,34.0,18.0,12704,197,21351,2010-2011
86,Chelsea,21,39.0,30.0,19236,257,27426,2010-2011
87,Everton,13,31.0,20.0,14371,245,22628,2010-2011
88,Fulham,11,30.0,19.0,16345,191,24796,2010-2011
89,Liverpool,17,37.0,22.0,16728,212,24941,2010-2011
90,Manchester City,21,34.0,26.0,17768,222,25892,2010-2011
91,Manchester United,23,49.0,29.0,18870,243,26671,2010-2011
92,Newcastle United,11,41.0,15.0,14194,202,22108,2010-2011
93,Stoke City,13,31.0,15.0,10349,191,18195,2010-2011
94,Sunderland,12,25.0,20.0,14166,181,22628,2010-2011
95,Tottenham Hotspur,16,30.0,25.0,16791,256,25438,2010-2011
96,West Bromwich Albion,12,30.0,26.0,14252,187,22224,2010-2011
97,West Ham United,7,24.0,19.0,13367,181,21823,2010-2011
98,Wigan Athletic,9,22.0,18.0,15180,169,23517,2010-2011
